0	0	-109
3	-3	-103
6	-8	-85
8	-10	927
9	-14	3552
11	-14	6921
12	-14	11315
15	-16	17041
14	-16	22851
13	-16	32299
16	-19	37292
15	-18	40185
19	-21	44653
19	-21	48999
21	-23	51184
21	-23	52349
26	-24	53070
29	-25	54138
32	-28	54864
34	-29	56365
33	-30	57061
32	-27	57647
31	-25	58239
31	-23	60015
28	-25	61663
22	-25	63665
23	-27	65191
22	-28	68585
24	-29	71496
26	-29	71356
29	-27	70275
32	-29	71264
33	-26	71862
33	-29	72729
33	-28	73651
35	-29	74420
34	-30	75439
26	-29	74884
24	-31	74566
23	-29	75512
25	-29	76867
26	-29	79901
28	-31	80633
32	-29	79888
34	-30	79571
34	-30	80456
35	-30	80352
36	-31	78363
33	-28	78173
28	-29	79272
27	-29	80346
27	-30	81036
28	-29	81921
28	-29	82720
33	-30	83099
34	-30	82147
35	-29	82153
36	-29	82440
32	-29	82318
27	-28	83288
28	-30	84460
27	-30	86260
28	-31	88000
31	-31	89599
33	-32	88482
34	-32	86804
31	-32	86688
32	-32	87591
33	-32	87811
31	-33	87567
28	-33	87628
28	-33	88128
27	-34	88677
29	-33	87298
33	-32	86254
35	-31	86010
33	-29	87011
36	-30	87780
32	-32	88659
31	-33	88616
28	-32	88317
27	-32	87219
27	-33	87750
29	-31	89556
32	-31	91241
34	-32	91149
32	-31	91571
33	-33	91632
35	-31	90698
31	-32	88958
30	-32	87347
27	-30	87023
29	-31	87982
31	-29	90155
34	-31	90045
35	-30	90295
36	-31	90325
37	-31	90057
35	-31	88226
31	-31	87377
29	-30	87396
28	-31	88397
29	-30	91558
32	-31	92138
34	-32	93377
36	-31	93170
36	-32	91577
37	-33	88116
34	-30	86993
29	-30	87280
28	-33	88183
29	-33	89038
27	-31	89105
30	-32	89862
34	-33	90344
33	-32	89709
32	-31	89172
34	-31	89483
30	-31	90069
29	-32	90069
27	-31	90106
29	-32	92224
29	-32	92712
29	-33	90979
32	-32	90655
34	-31	91119
34	-32	91961
35	-32	91235
31	-33	90490
30	-33	91210
27	-34	92156
29	-34	92858
32	-34	93145
34	-34	92694
33	-33	92736
34	-33	92840
35	-32	92694
33	-32	92053
31	-32	91485
28	-33	90173
28	-34	90600
28	-31	91687
31	-32	91204
32	-34	91320
33	-33	90417
36	-32	89672
36	-32	89715
32	-32	88964
29	-33	88208
27	-31	88055
29	-31	88397
28	-32	91564
32	-31	92419
35	-32	91406
34	-31	91925
35	-32	91748
37	-33	91107
31	-31	89208
30	-31	88726
27	-32	90106
29	-32	89739
30	-32	88891
31	-31	87792
34	-32	87176
33	-31	86175
34	-31	85858
34	-31	86230
29	-31	86633
29	-31	87646
29	-31	87622
28	-33	88305
29	-33	90612
29	-34	90838
33	-35	89447
35	-35	88549
35	-33	88262
34	-32	86444
25	-30	87084
26	-32	88006
25	-31	89227
27	-33	89477
27	-32	89746
31	-32	88665
34	-31	88171
32	-31	88281
32	-31	89447
34	-31	90014
30	-32	89709
15	-32	89855
0	-33	89721
0	-33	89367
0	-31	86315
0	-31	83447
0	-30	80480
0	-31	78137
0	-31	72113
0	-30	70318
0	-29	67498
0	-30	64776
0	-31	61700
