0	0	-109
1	4	-97
2	10	-103
2	18	79
4	21	2014
5	21	2648
5	22	2996
7	25	2972
8	24	3271
9	25	3851
10	27	4095
13	26	4748
11	25	4919
12	27	3649
13	26	3479
13	21	3796
14	20	4144
14	22	3607
15	24	2514
16	27	2734
16	27	3564
17	24	4418
18	23	4345
18	26	4266
19	28	4046
18	29	4199
19	28	4522
20	25	4229
21	24	3887
21	24	4125
21	25	3063
21	24	2661
23	25	2014
22	27	1818
23	29	1739
23	30	2673
24	29	3076
24	28	2825
23	28	1989
25	26	2465
24	24	2001
27	27	598
24	25	347
27	26	-225
26	27	-183
25	26	-134
27	27	451
26	27	305
27	29	-872
27	27	-366
28	29	-683
28	31	-219
28	28	1184
29	28	592
28	29	354
29	29	-18
28	30	482
29	31	73
29	28	-860
30	30	-79
30	32	-91
29	30	-12
31	30	-274
30	31	91
30	31	128
29	31	122
31	31	-555
29	30	-225
31	32	-653
31	31	-445
30	32	-158
32	32	-830
31	32	-415
30	32	-469
31	33	-793
31	29	-1348
32	32	-646
31	32	-1123
30	33	-1226
32	33	-469
32	31	-500
31	34	-1135
31	33	-1080
32	31	-1019
31	33	-915
32	33	-1519
31	34	-1684
32	33	-1373
32	33	-567
31	33	-982
32	33	-1257
31	32	-1483
31	33	-1159
32	33	-1696
31	34	-1202
33	33	-1531
32	33	-506
32	33	-1068
31	33	-939
32	33	-1049
31	32	-646
33	33	-1141
31	33	-708
32	33	-946
33	33	-744
32	34	-1110
31	33	-1580
32	32	-1391
32	32	-1470
32	33	-659
31	33	-1135
32	33	-665
32	32	-244
33	33	-115
31	33	-354
32	32	-1049
32	32	-744
32	33	-1068
31	33	-1104
33	33	-811
33	33	-512
31	33	-799
32	33	-1190
32	32	-1391
32	33	-1141
32	33	-1342
32	34	-1306
32	33	-1452
32	32	-366
32	33	-781
31	33	-811
32	32	-1702
31	33	-1385
33	33	-1336
31	33	-2410
31	33	-2093
32	33	-1690
32	33	-1684
31	32	-1556
32	33	-1818
32	33	-1110
32	33	-1519
32	33	-1733
32	33	-1379
32	33	-836
33	33	-793
31	33	-860
32	32	-1184
33	34	-720
32	33	-225
32	33	-946
32	33	-592
32	33	-451
33	33	-323
32	33	-1391
32	34	-2154
33	33	-1531
32	34	-2105
32	33	-1647
32	34	-1666
32	32	-1458
33	33	-1397
31	33	-1409
32	33	-1605
32	33	-915
33	34	-1324
32	32	-1440
33	34	-1342
31	33	-1507
33	33	-1507
31	32	-1501
32	34	-1458
32	33	-1226
33	33	-1788
32	33	-811
32	33	-1342
31	32	-1184
33	33	-1287
30	32	-1208
33	33	-1281
31	33	-976
33	33	-1477
32	32	-695
31	33	-903
32	32	-1324
32	33	-1385
31	32	-1281
33	32	-1617
31	33	-1153
33	33	-1452
31	31	-213
32	33	-1153
32	32	-982
32	32	-1104
31	32	-1275
33	32	-1458
31	33	-1434
32	32	-1696
32	32	-305
31	33	-781
