0	0	-109
2	-4	-109
2	-10	1232
4	-17	5273
6	-21	8081
7	-21	10400
9	-22	13391
10	-23	16735
12	-25	19421
12	-23	21813
12	-24	29681
14	-26	31518
15	-27	32604
15	-27	34259
15	-29	36450
17	-27	38543
18	-27	40826
20	-28	41674
26	-29	41851
26	-28	42309
28	-30	42541
27	-30	42822
26	-27	43634
26	-30	45013
30	-30	45361
31	-30	44262
31	-29	42718
25	-31	41821
19	-31	41009
17	-30	44311
18	-31	46417
18	-32	47515
19	-31	47662
23	-30	47106
27	-32	46533
28	-29	46307
28	-29	47229
24	-31	48394
27	-31	48468
29	-29	47399
30	-29	47717
28	-30	48303
24	-30	48822
20	-28	50244
19	-30	51623
20	-31	53588
19	-32	54412
21	-30	54632
26	-31	53076
28	-31	52056
31	-32	51556
32	-30	51190
29	-30	50653
29	-30	50799
29	-30	50915
28	-30	51947
27	-29	52966
22	-30	52905
16	-31	53424
19	-31	56091
20	-29	56890
19	-30	56909
20	-32	55944
23	-32	56054
27	-31	54705
30	-31	52783
32	-32	50952
31	-33	49218
31	-32	47790
33	-31	47277
29	-30	47753
27	-32	49182
26	-30	49322
23	-30	49194
19	-31	50769
18	-31	53125
19	-32	54406
18	-30	54040
20	-32	54510
23	-31	54388
28	-32	53051
30	-31	51104
32	-32	50244
30	-32	49688
29	-32	49060
30	-31	48260
29	-31	48553
23	-31	49841
24	-31	51037
21	-30	50964
19	-31	52459
18	-31	54284
19	-32	54968
18	-30	56304
20	-32	57379
24	-32	56237
28	-32	54235
30	-31	52087
32	-32	50659
32	-33	49853
32	-33	48583
34	-32	46807
31	-32	45678
26	-31	46942
25	-31	48931
22	-29	49737
20	-30	50909
16	-32	52600
18	-31	54321
19	-30	54449
18	-31	56268
21	-32	56622
26	-32	55364
29	-33	53137
31	-32	51751
30	-33	50793
30	-33	50219
32	-32	49127
30	-31	48095
30	-32	48345
28	-33	49420
25	-31	49853
19	-32	50396
7	-32	51928
8	-32	49322
12	-32	46295
14	-31	46179
15	-33	46112
16	-32	45996
17	-31	45788
20	-32	45501
26	-33	44512
29	-33	42858
31	-32	41339
32	-33	40460
33	-32	39526
24	-31	39117
22	-31	41241
24	-32	43927
27	-31	44012
28	-31	44342
23	-32	44873
25	-32	45849
20	-31	46197
15	-31	48303
16	-31	50152
16	-32	50360
17	-32	50628
18	-32	51092
21	-33	50524
25	-33	49743
29	-32	48046
30	-32	47259
29	-33	46978
25	-31	47198
27	-31	48956
26	-33	49420
29	-33	49560
26	-32	49133
23	-32	50567
19	-33	51416
17	-33	53289
18	-32	53912
18	-33	54052
19	-32	53991
22	-32	52697
26	-33	51135
29	-34	49359
31	-33	47888
31	-33	46972
26	-33	46630
27	-33	47155
29	-32	46997
23	-33	47784
24	-34	48809
25	-31	48321
20	-31	47381
18	-33	49731
18	-31	50683
18	-30	52825
18	-31	54144
22	-33	53308
25	-32	51702
28	-32	49932
31	-33	48425
32	-33	46862
32	-32	45715
33	-34	44439
33	-33	42651
30	-32	41265
26	-32	41577
28	-32	42358
25	-31	43218
19	-31	43902
17	-32	44689
17	-31	45172
17	-32	49285
17	-32	50988
20	-33	50830
24	-32	49737
